block idx,date start,challenge item name,lexical item name,frequency,concreteness,linguistic category,lexical class,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,replay counter,
0,2016-08-04 15:37:32,The wine,wine,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,29.5749,,,,1,
0,2016-08-04 15:37:32,lamb,lamb,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,37.8962,jam,p1,mp,2,
0,2016-08-04 15:37:32,roll,roll,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,171.5717,,,,7,
0,2016-08-04 15:37:32,The screen,screen,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,28.3089,The keyboard,s1,assoc,2,
0,2016-08-04 15:37:32,police,police,8,7,noun_2syll_word,noun,Word,NoNoise,0,0.1,2,p1,s1,,,,1,5.3341,,,,0,
0,2016-08-04 15:37:32,fish,fish,8,7,noun_1syll_word,noun,Word,NoNoise,0,0.1,2,p1,s1,,,,0,20.8912,fist,p1,mp,1,
0,2016-08-04 15:37:32,a roof,roof,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,19.1456,a chimney,s1,assoc,1,
0,2016-08-04 15:37:32,The bag,bag,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,15.6033,,,,1,
0,2016-08-04 15:37:32,gold,gold,8,7,noun_1syll_word,noun,Word,NoNoise,0,0.1,2,p1,s1,,,,0,138.2444,cold,p1,mp,4,
0,2016-08-04 15:37:32,The egg,egg,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,17.7607,,,,2,
0,2016-08-04 15:37:32,hole (in a sock),hole,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,13.7559,,,,1,
0,2016-08-04 15:37:32,the skin,skin,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p2,,,,0,45.5171,the skeleton,s1,assoc,3,
0,2016-08-04 15:37:32,roof,roof,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,69.026,tooth,p1,close,8,
0,2016-08-04 15:37:32,farm,farm,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,71.1023,,,,3,
0,2016-08-04 15:37:32,The crowd,crowd,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,17.7101,The cloud,p1,mp,1,
1,2016-08-04 16:30:11,The meal,meal,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,10.2663,,,,0,
1,2016-08-04 16:30:11,sheep,sheep,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,0,13.2584,goat,s1,coord,0,
1,2016-08-04 16:30:11,the flower,flower,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,5.2987,,,,0,
1,2016-08-04 16:30:11,The cloud,cloud,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.4941,,,,0,
