block idx,date start,challenge item name,lexical item name,linguistic category,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,
0,2016-11-03 12:40:26,the clothes,clothes,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,25.1003,,,,
0,2016-11-03 12:40:26,building,building,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,p1,,,,1,8.354,,,,
0,2016-11-03 12:40:26,baby,baby,noun_2syll_word,Word,NoNoise,0,0.1,2,p1,s2,,,,1,3.834,,,,
0,2016-11-03 12:40:26,egg,egg,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.5926,,,,
0,2016-11-03 12:40:26,neck,neck,noun_1syll_word,Word,NoNoise,0,0.1,2,s2,p2,,,,1,18.3337,,,,
0,2016-11-03 12:40:26,boat,boat,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,5.8202,,,,
0,2016-11-03 12:40:26,ship,ship,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,3.7586,,,,
0,2016-11-03 12:40:26,note,note,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,6.8829,,,,
0,2016-11-03 12:40:26,picture,picture,noun_2syll_word,Word,NoNoise,0,0.1,2,p3,s1,,,,0,30.7024,camera,s1,assoc,
0,2016-11-03 12:40:26,people,people,noun_2syll_word,Word,NoNoise,0,0.1,2,s1,p2,,,,1,4.6233,,,,
0,2016-11-03 12:40:26,page,page,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,7.365,,,,
0,2016-11-03 12:40:26,house,house,noun_1syll_word,Word,NoNoise,0,0.1,2,p1,s1,,,,1,4.3638,,,,
0,2016-11-03 12:40:26,body,body,noun_2syll_word,Word,NoNoise,0,0.1,2,s1,p2,,,,1,7.2746,,,,
0,2016-11-03 12:40:26,hole (in a sock),hole,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p3,,,,0,35.8902,hose,p3,mp,
0,2016-11-03 12:40:26,snow,snow,noun_1syll_word,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,9.1327,,,,
1,2016-11-03 12:50:22,hat,hat,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,4.2634,,,,
1,2016-11-03 12:50:22,The stone,stone,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,5.5363,,,,
1,2016-11-03 12:50:22,the glass,glass,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,5.4228,,,,
1,2016-11-03 12:50:22,The meat,meat,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,3.7632,,,,
1,2016-11-03 12:50:22,card,card,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,3.3738,,,,
1,2016-11-03 12:50:22,The screen,screen,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,s1,p3,,,,1,27.3212,,,,
1,2016-11-03 12:50:22,brain,brain,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,3.4979,,,,
1,2016-11-03 12:50:22,railway,railway,noun_2syll_word,Word,NoNoise,0,0.1322,2,s1,p2,,,,1,5.0559,,,,
1,2016-11-03 12:50:22,cloud,cloud,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,s2,,,,0,39.4912,rainfall,s2,assoc,
