block idx,date start,challenge item name,lexical item name,linguistic category,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,
0,2017-01-03 14:40:26,egg,egg,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
0,2017-01-03 14:40:26,crowd,crowd,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
0,2017-01-03 14:40:26,bell,bell,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
0,2017-01-03 14:40:26,lift,lift,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
0,2017-01-03 14:40:26,boat,boat,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
0,2017-01-03 14:40:26,The sheep,sheep,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
0,2017-01-03 14:40:26,child,child,noun_1syll_word,Word,NoNoise,0,0.1,2,,,,,,1,,,,,
0,2017-01-03 14:40:26,The cloud,cloud,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
0,2017-01-03 14:40:26,sheep,sheep,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
0,2017-01-03 14:40:26,fly,fly,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
0,2017-01-03 14:40:26,milk,milk,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
0,2017-01-03 14:40:26,the fly,fly,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
0,2017-01-03 14:40:26,baby,baby,noun_2syll_word,Word,NoNoise,0,0.1,2,,,,,,0,,,,,
0,2017-01-03 14:40:26,The kid,kid,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
0,2017-01-03 14:40:26,people,people,noun_2syll_word,Word,NoNoise,0,0.1,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,pocket,pocket,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,kitchen,kitchen,noun_2syll_word,Word,NoNoise,0,0.1,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,castle,castle,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,forest,forest,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,The army,army,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,The new company,company,noun_attributive,Word,NoNoise,0,0.1375,2,,,,,,0,,,,,
1,2017-01-03 14:44:35,student,student,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,shop,shop,noun_1syll_word,Word,NoNoise,0,0.1375,2,,,,,,0,,,,,
1,2017-01-03 14:44:35,The food,food,noun_1syll_phrase,Word,NoNoise,0,0.1,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,The railway,railway,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
1,2017-01-03 14:44:35,men,men,noun_1syll_word,Word,NoNoise,0,0.1,2,,,,,,0,,,,,
1,2017-01-03 14:44:35,blood,blood,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
1,2017-01-03 14:44:35,a rock,rock,noun_1syll_phrase,Word,NoNoise,0,0.1,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,prison,prison,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
1,2017-01-03 14:44:35,The blood,blood,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
2,2017-01-04 14:37:22,bedroom,bedroom,noun_2syll_word,Word,NoNoise,0,0.1,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,The bottle,bottle,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,cake,cake,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,boat,boat,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
2,2017-01-04 14:37:22,the office,office,noun_2syll_phrase,Word,NoNoise,0,0.1,2,,,,,,0,,,,,
2,2017-01-04 14:37:22,The band,band,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,The sheep,sheep,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,music,music,noun_2syll_word,Word,NoNoise,0,0.1375,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,The sugar,sugar,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,The stone,stone,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,The wine,wine,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,match,match,noun_1syll_word,Word,NoNoise,0,0.1375,2,,,,,,0,,,,,
2,2017-01-04 14:37:22,football,football,noun_2syll_word,Word,NoNoise,0,0.1,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,the driver,driver,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
2,2017-01-04 14:37:22,cloud,cloud,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
3,2017-01-04 14:45:24,bottle,bottle,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,The finger,finger,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
3,2017-01-04 14:45:24,The ticket,ticket,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,0,,,,,
3,2017-01-04 14:45:24,The railway,railway,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,family,family,noun_3syll_word,Word,NoNoise,0,0.1375,2,,,,,,0,,,,,
3,2017-01-04 14:45:24,student,student,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,The army,army,noun_2syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,The blood,blood,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,bag,bag,noun_1syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,email,email,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
3,2017-01-04 14:45:24,prison,prison,noun_2syll_word,Word,NoNoise,0,0.1322,2,,,,,,1,,,,,
