block idx,date start,challenge item name,lexical item name,frequency,concreteness,linguistic category,lexical class,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,replay counter,
0,2017-01-23 16:00:25,face,face,8,7,noun_1syll_word,noun,Word,NoNoise,0,0.1,2,p2,s2,,,,0,30.9115,hair,s2,assoc,2,
0,2017-01-23 16:00:25,The pool,pool,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,5.182,,,,1,
0,2017-01-23 16:00:25,The wine,wine,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,4.7089,,,,1,
0,2017-01-23 16:00:25,The bell,bell,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,3.8333,,,,0,
0,2017-01-23 16:00:25,bag,bag,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,11.6051,,,,0,
0,2017-01-23 16:00:25,The screen,screen,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p3,s2,,,,1,7.2312,,,,1,
0,2017-01-23 16:00:25,The boat,boat,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,0,10.3967,The captain,s2,assoc,1,
0,2017-01-23 16:00:25,The wave,wave,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.8957,,,,1,
0,2017-01-23 16:00:25,tv,tv,8,7,noun_2syll_word,noun,Word,NoNoise,0,0.1,2,s1,p2,,,,1,5.7413,,,,0,
0,2017-01-23 16:00:25,meat,meat,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,0,71.1481,meal,p2,mp,5,
0,2017-01-23 16:00:25,silver,silver,8,7,noun_2syll_word,noun,Word,NoNoise,0,0.1,2,s2,p2,,,,0,9.7454,coin,s2,assoc,0,
0,2017-01-23 16:00:25,The sheep,sheep,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,4.593,,,,0,
0,2017-01-23 16:00:25,The suit,suit,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,3.9068,,,,0,
0,2017-01-23 16:00:25,money,money,8,7,noun_2syll_word,noun,Word,NoNoise,0,0.1,2,s2,p1,,,,0,9.4556,cashmachine,s2,assoc,1,
0,2017-01-23 16:00:25,the fly,fly,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.9871,,,,0,
1,2017-01-23 16:08:07,smoke,smoke,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,0,8.0421,matchbox,s2,assoc,0,
1,2017-01-23 16:08:07,teacher,teacher,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,4.2157,,,,0,
1,2017-01-23 16:08:07,the brain,brain,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,3.7854,,,,0,
1,2017-01-23 16:08:07,glass,glass,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,11.9397,,,,1,
1,2017-01-23 16:08:07,computer,computer,7,7,noun_3syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s2,,,,1,4.8992,,,,0,
1,2017-01-23 16:08:07,the officer,officer,7,7,noun_3syll_phrase,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,1,4.8218,,,,0,
1,2017-01-23 16:08:07,The dad,dad,8,6,noun_1syll_phrase,noun,Word,NoNoise,0,0.1375,2,s1,p2,,,,1,3.6129,,,,0,
1,2017-01-23 16:08:07,match,match,8,6,noun_1syll_word,noun,Word,NoNoise,0,0.1375,2,p2,s2,,,,1,4.7895,,,,0,
1,2017-01-23 16:08:07,foot,foot,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p1,s1,,,,0,13.2109,soot,p1,mp,1,
1,2017-01-23 16:08:07,neck,neck,8,7,noun_1syll_word,noun,Word,NoNoise,0,0.1,2,p2,s1,,,,1,3.8945,,,,0,
1,2017-01-23 16:08:07,the alcohol,alcohol,7,7,noun_3syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,4.6597,,,,0,
1,2017-01-23 16:08:07,lift,lift,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p2,s2,,,,1,3.2013,,,,0,
1,2017-01-23 16:08:07,the office,office,8,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1,2,s2,p2,,,,1,4.0641,,,,0,
1,2017-01-23 16:08:07,The note,note,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,4.2584,,,,0,
1,2017-01-23 16:08:07,hand,hand,8,7,noun_1syll_word,noun,Word,NoNoise,0,0.1,2,p3,s2,,,,1,6.5996,,,,0,
2,2017-01-23 21:04:41,spot,spot,8,6,noun_2syll_word,noun,Word,NoNoise,0,0.1375,2,s1,p2,,,,1,5.5113,,,,0,
2,2017-01-23 21:04:41,model,model,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,11.0026,,,,0,
2,2017-01-23 21:04:41,the sauce,sauce,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,s1,p1,,,,1,4.1133,,,,0,
2,2017-01-23 21:04:41,bird,bird,8,7,noun_1syll_word,noun,Word,NoNoise,0,0.1,2,p2,s1,,,,1,10.3389,,,,1,
2,2017-01-23 21:04:41,The gold,gold,8,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1,2,s1,p2,,,,1,4.153,,,,0,
2,2017-01-23 21:04:41,watch,watch,8,7,noun_1syll_word,noun,Word,NoNoise,0,0.1,2,p2,s2,,,,1,5.0248,,,,1,
2,2017-01-23 21:04:41,painting,painting,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s1,p3,,,,0,10.0011,painter,p3,close,0,
2,2017-01-23 21:04:41,cream,cream,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,3.409,,,,0,
2,2017-01-23 21:04:41,the milk,milk,7,7,noun_1syll_phrase,noun,Word,NoNoise,0,0.1322,2,p2,s1,,,,1,3.7531,,,,0,
2,2017-01-23 21:04:41,doctor,doctor,8,7,noun_2syll_word,noun,Word,NoNoise,0,0.1,2,s2,p1,,,,1,3.455,,,,0,
2,2017-01-23 21:04:41,bag,bag,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,4.2878,,,,0,
2,2017-01-23 21:04:41,toilet,toilet,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p1,,,,1,5.2727,,,,0,
2,2017-01-23 21:04:41,army,army,7,7,noun_2syll_word,noun,Word,NoNoise,0,0.1322,2,p3,s1,,,,1,3.2661,,,,0,
2,2017-01-23 21:04:41,The movie,movie,7,7,noun_2syll_phrase,noun,Word,NoNoise,0,0.1322,2,s2,p2,,,,1,10.0632,,,,0,
2,2017-01-23 21:04:41,The women,women,8,6,noun_2syll_phrase,noun,Word,NoNoise,0,0.1375,2,p1,s2,,,,1,27.8768,,,,1,
3,2017-01-23 22:00:10,mouth,mouth,7,7,noun_1syll_word,noun,Word,NoNoise,0,0.1322,2,s2,p3,,,,1,4.455,,,,0,
