linguistic category,block type,% corect,% incorrect-phonological,% incorrect-semantic,% incorrect-unrelated,
noun_1syll_word,unforced,85.62,3.27,11.11,0,
noun_1syll_word,forced,95,1.11,3.89,0,
noun_1syll_word,noise,91.25,2.5,6.25,0,
noun_1syll_phrase,unforced,88.96,2.94,8.1,0,
noun_1syll_phrase,forced,90.32,1.08,8.06,0.54,
noun_1syll_phrase,noise,92.74,2.42,4.84,0,
noun_predicative,unforced,90.47,3.33,5.77,0.42,
noun_predicative,forced,89.17,2.55,8.28,0,
noun_predicative,noise,92.94,3.03,3.7,0.34,
noun_intransitive,unforced,90.64,2.62,5.99,0.75,
noun_intransitive,forced,83.1,2.82,12.68,1.41,
noun_intransitive,noise,97.53,2.47,0,0,
